time_lr_original_feats;time_lr_selected_feats;time_gnb_original_feats;time_gnb_selected_feats;time_rf_original_feats;time_rf_selected_feats;time_svc_original_feats;time_svc_selected_feats;time_nn_original_feats;time_nn_selected_feats
1069;3.3;19;3;1381;1405;852;1135;938;1486
1074;1355;31;4;1048;1203;979;1346;926;1326
962;1206;18;3;847;1153;1428;1514;1159;1479
0.82;1215;17;3;646;1204;0.69;1.37;694;1184
824;1246;18;2;907;1146;607;1118;572;1127
614;1328;0.02;3;802;1412;797;1319;725;1879
1166;1158;18;2;766;1072;752;1146;765;1076
712;1151;17;3;914;2029;1032;2041;0.73;999
624;1289;17;2;522;1035;489;1104;484;1093
0.65;1064;17;2;595;1077;875;1.03;546;2818
834;1261;0.02;3;1048;1737;1229;1311;867;1189
633;1332;16;3;1021;1282;794;1806;3214;2089
0.75;1248;17;3;708;2141;1412;1418;916;1331
809;1271;0.02;2;765;1326;778;1255;767;1311
868;1162;17;3;678;1425;1186;1384;1167;1092
657;1109;18;2;716;1099;728;1083;756;1073
754;1122;18;3;633;1124;0.68;1128;613;1.14
618;1131;19;3;619;1189;704;1095;1017;1.41
926;1268;17;3;638;1151;659;1137;805;1.16
751;1261;17;4;807;1367;963;1235;732;1169
1086;1242;17;2;742;1.23;0.81;1232;859;1.2
0.78;1261;17;3;751;1139;647;1189;722;1.1
682;1222;18;2;655;1.11;787;1515;1.01;1611
929;1157;16;3;662;1073;928;1088;649;1098
689;1238;21;2;738;1129;665;1105;643;1229
641;1096;21;2;668;1171;675;1.09;852;1536
821;1527;18;2;835;1176;751;1151;783;1.15
607;1135;16;3;0.69;1.25;622;1112;737;1093
727;1092;19;2;718;1104;721;1182;854;1.18
1051;1168;18;2;718;1222;851;1169;739;1126
808;1.25;19;3;0.89;1252;857;1281;785;1398
935;1617;19;2;1102;1139;692;1151;666;1.12
0.68;1185;16;2;905;1266;0.75;1169;651;1243
791;1.36;18;3;936;1298;971;1353;1163;2892
2223;1619;22;3;2767;2555;3156;2901;2.27;1827
1.16;1213;22;3;878;1133;837;1368;935;1246
0.98;1242;17;2;677;1105;662;1149;737;1072
1137;1518;19;2;1112;1677;1077;1082;826;1116
679;1195;17;2;766;1116;678;1155;761;1132
632;1185;18;2;0.95;1353;1176;1343;921;1169
768;2164;18;3;1751;1.35;865;1224;792;1.22
831;1232;21;2;873;1304;783;1113;993;1171
619;1147;17;2;624;1138;683;1.3;891;1.31
837;1257;17;2;0.65;1.16;606;1117;0.76;1069
816;1097;17;3;917;1274;775;1117;928;1429
1.0;1.63;19;2;769;1181;767;1152;696;1183
702;1177;16;3;839;1281;1193;1363;1.05;1177
956;1178;18;2;933;1178;986;1625;1259;1772
1216;1208;19;3;878;1229;776;1112;761;1169
646;1098;19;3;757;1097;812;1.24;961;1182
1.0;1194;18;2;678;1115;678;1095;789;1.06
736;1156;17;3;729;1102;0.71;1118;784;1097
665;1153;18;3;614;1201;638;1431;1145;1379
1227;1113;23;3;792;1248;966;1402;1019;1362
798;1251;17;3;746;1296;786;1353;807;1249
0.82;1186;17;2;0.9;1202;1175;1904;2981;1153
1041;1065;17;3;587;1054;511;1015;0.64;1088
561;1022;15;3;509;1017;575;1.0;513;1052
0.62;1041;15;2;511;1005;491;1075;507;1024
535;989;16;2;572;981;533;1003;485;1936
516;1038;16;2;537;1403;1866;2015;1817;2259
1039;1209;24;4;933;1235;917;1283;924;1227
1782;2046;21;2;926;1309;1076;1.23;874;1132
911;1642;0.02;3;1.11;1378;1052;1243;922;1214
1024;1219;16;3;706;1.17;928;1503;871;1282
782;1259;18;3;753;1.14;671;1184;665;1168
807;1111;18;3;734;1116;678;1122;755;1137
831;1.1;17;2;903;1206;849;1466;1873;2665
1608;1201;18;2;962;1212;924;1219;855;1328
877;1275;17;2;855;1231;704;1117;878;1162
0.76;1.12;0.02;3;637;1112;988;1536;1349;1613
1102;1149;16;2;695;1102;826;1074;723;1111
657;1128;19;2;681;1149;746;1147;628;1249
666;1202;17;4;637;1136;843;1173;0.83;1212
665;1278;24;4;1254;1563;1353;1404;987;2593
5949;3699;22;3;2.81;2373;1243;1412;708;1.02
533;1004;18;2;821;2467;2285;1806;1314;2001
854;1076;18;3;714;1104;677;1139;725;1167
731;1229;17;3;1273;1124;669;1052;591;1041
545;1023;17;3;627;1113;505;1036;741;1205
715;1159;16;2;666;1128;767;1.5;731;1129
712;1179;16;2;1579;1234;1087;3.72;881;1167
585;1062;17;2;1076;1014;665;1189;1116;1476
1335;2426;18;2;1267;1252;691;1033;649;1072
686;1244;17;2;818;1376;1022;1032;614;1008
605;1039;15;2;0.53;1077;511;1.08;592;1042
615;1.01;18;2;0.63;1174;695;1174;573;1106
0.85;1643;19;2;1329;1232;661;1161;793;1171
657;1.12;17;2;0.69;1113;647;1115;675;1099
669;1112;17;3;607;1348;758;1486;817;1.32
718;1052;15;2;515;1012;498;989;549;999
498;999;16;2;499;1007;498;987;508;997
553;1013;15;2;546;1038;503;994;536;982
536;1094;16;2;926;1198;721;1.15;595;1.06
504;1007;16;2;525;1005;488;1013;502;1022
525;1073;18;3;531;1086;1264;1295;1944;1192
719;1199;19;2;757;1204;786;1224;768;1416
881;1257;15;3;951;1306;884;1149;593;985
487;1081;15;2;503;1282;807;1288;846;1251
517;982;19;3;711;1058;708;1009;528;976
