time_acc_lr_original_feats;time_acc_lr_selected_feats;time_acc_neight_original_feats;time_acc_neight_selected_feats;time_acc_gnb_original_feats;time_acc_gnb_selected_feats;time_acc_rf_original_feats;time_acc_rf_selected_feats;time_prec_lr_original_feats;time_prec_lr_selected_feats;time_prec_neight_original_feats;time_prec_neight_selected_feats;time_prec_gnb_original_feats;time_prec_gnb_selected_feats;time_prec_rf_original_feats;time_prec_rf_selected_feats;time_rec_lr_original_feats;time_rec_lr_selected_feats;time_rec_neight_original_feats;time_rec_neight_selected_feats;time_rec_gnb_original_feats;time_rec_gnb_selected_feats;time_rec_rf_original_feats;time_rec_rf_selected_feats;time_f1_lr_original_feats;time_f1_lr_selected_feats;time_f1_neight_original_feats;time_f1_neight_selected_feats;time_f1_gnb_original_feats;time_f1_gnb_selected_feats;time_f1_rf_original_feats;time_f1_rf_selected_feats
7.647;12.374;0.219;0.078;0.219;0.031;9.048;3.031;7.059;12.363;0.234;0.094;0.219;0.047;8.976;3.047;7.546;12.468;0.219;0.078;0.234;0.031;8.974;3.01;7.008;12.711;0.219;0.094;0.234;0.031;9.001;3.031
6.755;12.424;0.219;0.063;0.234;0.031;9.06;3.036;7.281;12.518;0.212;0.078;0.219;0.047;9.207;3.276;6.88;12.547;0.203;0.078;0.219;0.047;9.206;3.087;7.298;12.879;0.219;0.078;0.219;0.031;10.273;3.333
7.265;13.001;0.219;0.094;0.219;0.031;9.298;3.08;7.392;13.668;0.219;0.078;0.234;0.031;9.221;3.078;7.228;13.532;0.219;0.094;0.219;0.047;9.272;3.126;7.297;13.13;0.219;0.078;0.25;0.047;9.392;3.109
7.152;13.196;0.219;0.062;0.219;0.031;9.595;3.157;7.391;13.126;0.219;0.078;0.234;0.047;9.313;3.125;7.438;13.294;0.234;0.078;0.234;0.047;9.329;3.126;7.338;13.148;0.219;0.078;0.25;0.047;9.366;3.234
7.276;12.952;0.188;0.078;0.219;0.031;9.425;3.188;7.299;13.125;0.252;0.063;0.219;0.047;9.407;3.125;7.398;13.21;0.219;0.078;0.234;0.047;9.293;3.241;7.26;13.523;0.22;0.078;0.25;0.031;9.236;3.109
7.21;12.855;0.219;0.078;0.219;0.031;9.221;3.131;7.126;12.972;0.203;0.078;0.219;0.031;9.174;3.094;7.028;13.157;0.203;0.062;0.219;0.031;9.325;3.14;7.411;12.954;0.219;0.078;0.234;0.047;9.173;3.08
7.367;12.924;0.219;0.062;0.219;0.047;9.297;3.266;7.119;13.039;0.187;0.078;0.219;0.031;9.142;3.097;7.234;12.977;0.219;0.078;0.203;0.047;9.348;3.167;7.19;12.845;0.234;0.063;0.266;0.031;9.251;3.126
7.173;13.19;0.203;0.078;0.219;0.047;9.462;3.238;7.153;13.288;0.234;0.094;0.234;0.047;9.181;3.094;7.099;13.154;0.219;0.078;0.219;0.031;9.215;3.219;7.251;12.875;0.234;0.094;0.219;0.047;9.22;3.078
7.469;13.001;0.219;0.078;0.234;0.031;9.256;3.156;7.125;12.908;0.219;0.078;0.219;0.047;9.205;3.218;7.08;13.083;0.203;0.094;0.234;0.047;9.206;3.155;7.303;12.892;0.234;0.078;0.234;0.047;9.517;3.097
7.191;13.022;0.219;0.078;0.219;0.031;9.266;3.156;7.173;13.063;0.219;0.063;0.234;0.047;9.399;3.119;7.13;12.686;0.219;0.062;0.266;0.031;9.844;3.126;7.109;13.074;0.234;0.078;0.234;0.031;9.169;3.078
