time_acc_dt_original_feats;time_acc_dt_selected_feats;time_acc_neight_original_feats;time_acc_neight_selected_feats;time_acc_gnb_original_feats;time_acc_gnb_selected_feats;time_acc_rf_original_feats;time_acc_rf_selected_feats;time_acc_mlp_original_feats;time_acc_mlp_selected_feats;time_acc_svc_original_feats;time_acc_svc_selected_featstime_prec_dt_original_feats;time_prec_dt_selected_feats;time_prec_neight_original_feats;time_prec_neight_selected_feats;time_prec_gnb_original_feats;time_prec_gnb_selected_feats;time_prec_rf_original_feats;time_prec_rf_selected_feats;time_prec_mlp_original_feats;time_prec_mlp_selected_feats;time_prec_svc_original_feats;time_prec_svc_selected_featstime_rec_dt_original_feats;time_rec_dt_selected_feats;time_rec_neight_original_feats;time_rec_neight_selected_feats;time_rec_gnb_original_feats;time_rec_gnb_selected_feats;time_rec_rf_original_feats;time_rec_rf_selected_feats;time_rec_mlp_original_feats;time_rec_mlp_selected_feats;time_rec_svc_original_feats;time_rec_svc_selected_featstime_f1_dt_original_feats;time_f1_dt_selected_feats;time_f1_neight_original_feats;time_f1_neight_selected_feats;time_f1_gnb_original_feats;time_f1_gnb_selected_feats;time_f1_rf_original_feats;time_f1_rf_selected_feats;time_f1_mlp_original_feats;time_f1_mlp_selected_feats;time_f1_svc_original_feats;time_f1_svc_selected_feats;time_acc_svc_selected_feats;time_f1_dt_original_feats;time_prec_dt_original_feats;time_prec_svc_selected_feats;time_rec_dt_original_feats;time_rec_svc_selected_feats
0.552;0.077;2.753;0.272;0.252;0.047;10.268;3.486;19.785;8.628;8.883;;0.081;2.741;0.272;0.255;0.052;10.223;3.482;17.777;8.493;9.178;;0.084;2.766;0.275;0.253;0.055;10.279;3.527;18.624;8.346;8.934;;0.083;2.739;0.272;0.258;0.051;10.26;3.398;18.669;8.156;8.954;0.476;0.466;0.55;0.555;0.471;0.561;0.475
0.56;0.081;2.816;0.272;0.262;0.049;10.111;3.579;17.304;7.883;8.636;;0.079;2.748;0.271;0.258;0.06;10.22;3.462;19.307;8.507;8.831;;0.084;2.769;0.27;0.257;0.049;10.252;3.495;18.653;8.441;9.144;;0.083;2.778;0.274;0.262;0.052;10.289;3.489;19.558;8.614;8.911;0.479;0.448;0.573;0.552;0.458;0.552;0.474
0.554;0.078;2.736;0.271;0.259;0.049;10.254;3.485;17.902;8.125;8.898;;0.085;2.801;0.275;0.269;0.055;10.328;3.51;19.096;8.421;8.896;;0.083;2.765;0.275;0.256;0.054;10.253;3.503;18.285;8.316;8.98;;0.082;2.831;0.276;0.264;0.053;10.339;3.566;19.123;8.816;9.328;0.487;0.471;0.561;0.561;0.47;0.555;0.474
0.563;0.08;2.821;0.27;0.256;0.046;10.327;3.541;18.729;8.496;9.271;;0.082;2.806;0.29;0.283;0.059;10.437;3.483;19.767;8.278;8.999;;0.08;2.881;0.281;0.248;0.051;10.275;3.474;19.663;8.029;8.66;;0.077;2.704;0.269;0.265;0.053;10.129;3.453;18.038;8.082;8.7;0.482;0.473;0.547;0.556;0.478;0.563;0.47
0.553;0.079;2.715;0.262;0.238;0.046;10.169;3.411;18.35;8.214;8.821;;0.079;2.683;0.27;0.266;0.053;10.086;3.386;17.118;7.907;8.782;;0.082;2.716;0.269;0.25;0.051;10.365;3.534;18.852;8.227;8.627;;0.079;2.682;0.269;0.246;0.05;10.089;3.605;17.651;7.943;8.67;0.464;0.468;0.549;0.545;0.474;0.555;0.472
0.545;0.075;2.686;0.263;0.242;0.045;10.091;3.454;17.727;8.668;8.684;;0.091;2.888;0.266;0.245;0.05;10.076;3.411;17.211;8.05;9.034;;0.084;2.693;0.269;0.249;0.05;10.079;3.419;17.005;7.839;8.584;;0.081;2.728;0.268;0.251;0.054;10.203;3.447;18.857;8.517;8.681;0.46;0.446;0.553;0.568;0.472;0.549;0.452
0.553;0.075;2.792;0.27;0.273;0.051;10.1;3.409;16.899;7.992;8.665;;0.079;2.712;0.275;0.262;0.05;10.114;3.457;18.184;8.306;8.666;;0.08;2.68;0.276;0.284;0.05;10.085;3.414;17.812;7.957;8.679;;0.078;2.533;0.256;0.251;0.039;9.551;3.223;18.341;7.602;8.637;0.466;0.46;0.548;0.549;0.467;0.544;0.459
0.507;0.078;2.485;0.25;0.232;0.031;9.385;3.176;16.03;7.396;7.942;;0.084;2.477;0.25;0.24;0.048;9.437;3.206;15.628;7.316;7.863;;0.074;2.491;0.255;0.237;0.032;9.369;3.175;15.968;7.347;8.026;;0.071;2.491;0.24;0.238;0.047;9.363;3.172;14.923;7.315;7.919;0.425;0.413;0.535;0.525;0.435;0.516;0.423
0.518;0.079;2.517;0.247;0.222;0.047;9.495;3.222;15.561;7.601;7.89;;0.077;2.502;0.25;0.224;0.04;9.372;3.191;15.092;7.365;7.906;;0.078;2.472;0.261;0.234;0.047;9.343;3.233;13.873;7.304;7.865;;0.063;2.497;0.253;0.219;0.047;9.341;3.187;16.155;7.447;8.032;0.429;0.415;0.534;0.518;0.43;0.536;0.438
0.508;0.078;2.477;0.245;0.219;0.037;9.41;3.168;14.467;7.315;7.865;;0.078;2.526;0.263;0.226;0.047;9.511;3.223;14.516;7.613;7.875;;0.066;2.491;0.25;0.228;0.047;9.435;3.178;14.438;7.316;7.971;;0.072;2.497;0.244;0.234;0.047;9.401;3.189;14.448;7.35;7.891;0.433;0.418;0.519;0.528;0.422;0.54;0.433
0.526;0.08;2.518;0.247;0.229;0.036;9.385;3.191;15.467;7.528;7.953;;0.069;2.493;0.242;0.234;0.047;9.369;3.192;14.484;7.305;7.912;;0.08;2.533;0.251;0.235;0.032;9.531;3.214;14.519;7.358;7.919;;0.084;2.482;0.25;0.23;0.037;9.408;3.189;16.125;7.315;8.005;0.434;0.431;0.509;0.544;0.425;0.529;0.438
0.52;0.054;2.486;0.246;0.236;0.031;9.35;3.175;15.234;7.328;7.858;;0.063;2.545;0.259;0.228;0.05;9.425;3.185;17.159;7.575;7.859;;0.078;2.482;0.267;0.221;0.052;9.403;3.182;14.435;7.319;7.86;;0.078;2.522;0.246;0.234;0.047;9.512;3.219;14.384;7.33;7.855;0.43;0.423;0.521;0.534;0.441;0.513;0.435
0.522;0.066;2.49;0.252;0.221;0.031;9.346;3.196;14.952;7.321;8.031;;0.075;2.491;0.25;0.236;0.04;9.362;3.171;14.396;7.314;7.885;;0.078;2.511;0.264;0.224;0.057;9.502;3.214;15.442;7.589;7.892;;0.078;2.473;0.247;0.233;0.047;9.353;3.175;15.563;7.371;7.865;0.428;0.445;0.529;0.516;0.421;0.537;0.418
0.52;0.063;2.493;0.23;0.241;0.039;9.518;3.213;15.651;7.314;7.881;;0.078;2.482;0.265;0.232;0.031;9.356;3.178;16.911;7.335;8.006;;0.063;2.487;0.257;0.228;0.047;9.37;3.182;16.124;7.339;7.909;;0.078;2.543;0.253;0.235;0.047;9.575;3.193;16.969;7.583;7.893;0.439;0.428;0.527;0.526;0.434;0.525;0.423
0.532;0.062;2.479;0.254;0.222;0.047;9.337;3.171;14.91;7.346;7.918;;0.078;2.492;0.246;0.231;0.047;9.472;3.213;14.18;7.351;7.881;;0.078;2.47;0.262;0.222;0.047;9.369;3.159;14.835;7.357;7.985;;0.062;2.481;0.267;0.219;0.047;9.368;3.177;14.222;7.32;7.945;0.433;0.419;0.538;0.515;0.436;0.518;0.448
