time_acc_dt_original_feats;time_acc_dt_selected_feats;time_acc_neight_original_feats;time_acc_neight_selected_feats;time_acc_gnb_original_feats;time_acc_gnb_selected_feats;time_acc_rf_original_feats;time_acc_rf_selected_feats;time_acc_mlp_original_feats;time_acc_mlp_selected_feats;time_acc_svc_original_feats;time_acc_svc_selected_featstime_prec_dt_original_feats;time_prec_dt_selected_feats;time_prec_neight_original_feats;time_prec_neight_selected_feats;time_prec_gnb_original_feats;time_prec_gnb_selected_feats;time_prec_rf_original_feats;time_prec_rf_selected_feats;time_prec_mlp_original_feats;time_prec_mlp_selected_feats;time_prec_svc_original_feats;time_prec_svc_selected_featstime_rec_dt_original_feats;time_rec_dt_selected_feats;time_rec_neight_original_feats;time_rec_neight_selected_feats;time_rec_gnb_original_feats;time_rec_gnb_selected_feats;time_rec_rf_original_feats;time_rec_rf_selected_feats;time_rec_mlp_original_feats;time_rec_mlp_selected_feats;time_rec_svc_original_feats;time_rec_svc_selected_featstime_f1_dt_original_feats;time_f1_dt_selected_feats;time_f1_neight_original_feats;time_f1_neight_selected_feats;time_f1_gnb_original_feats;time_f1_gnb_selected_feats;time_f1_rf_original_feats;time_f1_rf_selected_feats;time_f1_mlp_original_feats;time_f1_mlp_selected_feats;time_f1_svc_original_feats;time_f1_svc_selected_feats;time_acc_svc_selected_feats;time_f1_dt_original_feats;time_prec_dt_original_feats;time_prec_svc_selected_feats;time_rec_dt_original_feats;time_rec_svc_selected_feats
0.537;0.058;2.533;0.25;0.235;0.031;9.619;3.191;15.455;7.568;8.016;;0.078;2.488;0.25;0.247;0.047;9.356;3.187;15.386;7.335;7.889;;0.078;2.498;0.254;0.228;0.047;9.504;3.22;15.388;7.349;7.87;;0.078;2.493;0.252;0.234;0.053;9.415;3.188;15.179;7.331;8.017;0.442;0.435;0.522;0.531;0.435;0.518;0.44
0.52;0.062;2.496;0.238;0.234;0.047;9.419;3.207;15.806;7.342;7.913;;0.072;2.527;0.251;0.236;0.047;9.516;3.201;15.558;7.574;7.877;;0.072;2.487;0.252;0.234;0.047;9.374;3.189;15.311;7.386;7.89;;0.078;2.497;0.259;0.226;0.048;9.491;3.232;15.655;7.32;7.907;0.439;0.419;0.522;0.545;0.437;0.518;0.428
0.528;0.078;2.488;0.245;0.236;0.031;9.429;3.175;16.814;7.328;7.991;;0.09;2.49;0.234;0.25;0.047;9.394;3.188;15.949;7.362;7.899;;0.078;2.538;0.25;0.236;0.047;9.534;3.191;16.667;7.623;7.892;;0.081;2.512;0.251;0.237;0.047;9.496;3.234;15.372;7.448;7.867;0.423;0.428;0.536;0.509;0.422;0.515;0.422
0.535;0.054;2.494;0.254;0.236;0.031;9.47;3.216;14.975;7.318;7.922;;0.063;2.502;0.25;0.235;0.05;9.382;3.185;16.521;7.329;8.016;;0.062;2.497;0.244;0.246;0.031;9.381;3.18;14.998;7.336;7.924;;0.063;2.542;0.242;0.244;0.047;9.532;3.202;15.831;7.59;7.884;0.435;0.435;0.538;0.523;0.447;0.533;0.432
0.526;0.06;2.502;0.243;0.219;0.039;9.414;3.199;15.781;7.39;7.924;;0.078;2.488;0.239;0.229;0.047;9.487;3.214;14.955;7.347;7.879;;0.067;2.508;0.243;0.234;0.05;9.365;3.187;16.027;7.375;7.978;;0.062;2.511;0.251;0.234;0.047;9.385;3.204;16.275;7.319;7.921;0.437;0.433;0.527;0.531;0.421;0.534;0.456
0.531;0.076;2.521;0.244;0.243;0.04;9.546;3.217;16.405;7.564;7.878;;0.076;2.477;0.25;0.251;0.039;9.409;3.171;15.637;7.365;7.881;;0.078;2.502;0.249;0.236;0.047;9.447;3.223;14.805;7.343;7.93;;0.063;2.498;0.252;0.234;0.047;9.402;3.201;15.843;7.367;8.02;0.422;0.418;0.535;0.529;0.419;0.516;0.422
0.517;0.076;2.494;0.256;0.235;0.034;9.362;3.184;14.763;7.318;7.899;;0.072;2.543;0.244;0.247;0.047;9.503;3.215;14.394;7.575;7.88;;0.086;2.505;0.251;0.247;0.038;9.395;3.206;14.436;7.337;7.941;;0.071;2.493;0.257;0.236;0.045;9.37;3.197;14.159;7.304;7.874;0.428;0.427;0.532;0.534;0.431;0.519;0.44
0.521;0.078;2.511;0.259;0.219;0.047;9.399;3.187;15.218;7.543;8.013;;0.076;2.487;0.262;0.235;0.033;9.423;3.186;14.513;7.301;7.881;;0.089;2.528;0.243;0.249;0.035;9.516;3.233;14.198;7.466;7.881;;0.078;2.487;0.25;0.234;0.047;9.422;3.172;15.699;7.312;7.985;0.44;0.422;0.532;0.529;0.417;0.527;0.424
0.528;0.063;2.536;0.247;0.249;0.047;9.509;3.237;15.174;7.34;7.864;;0.083;2.589;0.25;0.251;0.047;9.425;3.195;15.187;7.629;8.112;;0.078;2.502;0.244;0.241;0.031;9.396;3.195;15.86;7.32;7.886;;0.078;2.533;0.242;0.244;0.047;9.524;3.232;14.73;7.373;7.903;0.433;0.435;0.529;0.553;0.442;0.516;0.432
0.532;0.062;2.486;0.25;0.227;0.04;9.387;3.178;14.52;7.324;8.023;;0.078;2.473;0.264;0.225;0.047;9.409;3.174;14.18;7.344;7.89;;0.079;2.516;0.25;0.235;0.05;9.547;3.182;15.687;7.661;7.883;;0.078;2.49;0.25;0.248;0.031;9.394;3.182;14.833;7.344;7.867;0.431;0.418;0.54;0.521;0.429;0.526;0.431
0.522;0.073;2.486;0.255;0.217;0.054;9.468;3.245;14.545;7.319;7.897;;0.063;2.501;0.25;0.245;0.031;9.391;3.185;16.483;7.335;8.013;;0.076;2.508;0.244;0.242;0.031;9.407;3.174;15.262;7.333;7.901;;0.078;2.528;0.254;0.244;0.047;9.501;3.223;15.426;7.582;7.906;0.433;0.424;0.527;0.538;0.426;0.538;0.421
0.526;0.066;2.489;0.242;0.237;0.031;9.445;3.168;14.737;7.377;7.872;;0.077;2.498;0.24;0.234;0.054;9.459;3.218;14.811;7.299;7.868;;0.063;2.503;0.249;0.234;0.047;9.371;3.175;15.683;7.368;7.99;;0.062;2.505;0.249;0.245;0.047;9.384;3.192;14.827;7.299;7.912;0.422;0.422;0.541;0.534;0.44;0.53;0.443
0.516;0.075;2.518;0.25;0.238;0.029;9.501;3.215;16.234;7.625;7.881;;0.079;2.488;0.248;0.235;0.045;9.377;3.186;14.211;7.315;7.894;;0.078;2.507;0.254;0.24;0.047;9.38;3.242;14.498;7.462;7.863;;0.063;2.511;0.237;0.234;0.047;9.4;3.202;15.142;7.512;8.006;0.433;0.434;0.529;0.543;0.426;0.521;0.422
0.528;0.063;2.497;0.244;0.228;0.047;9.388;3.186;15.873;7.314;7.889;;0.078;2.518;0.26;0.241;0.047;9.511;3.204;14.804;7.601;7.894;;0.066;2.5;0.25;0.234;0.047;9.4;3.205;14.788;7.334;7.992;;0.078;2.497;0.252;0.219;0.047;9.436;3.191;14.405;7.336;7.875;0.432;0.427;0.52;0.532;0.423;0.531;0.43
0.53;0.059;2.503;0.255;0.234;0.042;9.451;3.189;15.648;7.583;8.018;;0.078;2.504;0.234;0.249;0.047;9.41;3.212;15.461;7.333;7.859;;0.071;2.53;0.251;0.235;0.047;9.492;3.239;15.411;7.487;7.88;;0.068;2.482;0.263;0.236;0.032;9.412;3.177;14.781;7.328;7.992;0.448;0.421;0.528;0.51;0.444;0.543;0.426
0.508;0.078;2.482;0.248;0.228;0.031;9.437;3.179;15.719;7.319;7.868;;0.078;2.551;0.258;0.229;0.047;9.422;3.218;15.151;7.561;7.941;;0.063;2.504;0.247;0.234;0.047;9.425;3.186;15.807;7.316;7.874;;0.068;2.535;0.259;0.238;0.031;9.512;3.222;16.1;7.428;7.895;0.422;0.422;0.539;0.528;0.441;0.527;0.438
0.53;0.063;2.487;0.253;0.231;0.031;9.407;3.205;14.562;7.304;8.007;;0.082;2.49;0.243;0.236;0.047;9.368;3.191;15.5;7.328;7.873;;0.061;2.542;0.252;0.253;0.047;9.426;3.178;16.213;7.559;7.952;;0.063;2.497;0.258;0.229;0.047;9.383;3.192;14.227;7.32;7.865;0.445;0.423;0.537;0.523;0.425;0.542;0.433
