time_acc_dt_original_feats;time_acc_dt_selected_feats;time_acc_neight_original_feats;time_acc_neight_selected_feats;time_acc_gnb_original_feats;time_acc_gnb_selected_feats;time_acc_rf_original_feats;time_acc_rf_selected_feats;time_acc_mlp_original_feats;time_acc_mlp_selected_feats;time_acc_svc_original_feats;time_acc_svc_selected_featstime_prec_dt_original_feats;time_prec_dt_selected_feats;time_prec_neight_original_feats;time_prec_neight_selected_feats;time_prec_gnb_original_feats;time_prec_gnb_selected_feats;time_prec_rf_original_feats;time_prec_rf_selected_feats;time_prec_mlp_original_feats;time_prec_mlp_selected_feats;time_prec_svc_original_feats;time_prec_svc_selected_featstime_rec_dt_original_feats;time_rec_dt_selected_feats;time_rec_neight_original_feats;time_rec_neight_selected_feats;time_rec_gnb_original_feats;time_rec_gnb_selected_feats;time_rec_rf_original_feats;time_rec_rf_selected_feats;time_rec_mlp_original_feats;time_rec_mlp_selected_feats;time_rec_svc_original_feats;time_rec_svc_selected_featstime_f1_dt_original_feats;time_f1_dt_selected_feats;time_f1_neight_original_feats;time_f1_neight_selected_feats;time_f1_gnb_original_feats;time_f1_gnb_selected_feats;time_f1_rf_original_feats;time_f1_rf_selected_feats;time_f1_mlp_original_feats;time_f1_mlp_selected_feats;time_f1_svc_original_feats;time_f1_svc_selected_feats;time_acc_svc_selected_feats;time_f1_dt_original_feats;time_prec_dt_original_feats;time_prec_svc_selected_feats;time_rec_dt_original_feats;time_rec_svc_selected_feats
0.527;0.062;2.523;0.252;0.234;0.047;9.691;3.221;14.437;7.355;7.875;;0.066;2.49;0.241;0.246;0.039;9.451;3.233;15.192;7.314;8.006;;0.078;2.488;0.25;0.233;0.031;9.406;3.183;14.585;7.32;7.935;;0.078;2.528;0.252;0.236;0.047;9.49;3.195;16.41;7.582;7.865;0.431;0.427;0.528;0.54;0.435;0.53;0.429
0.533;0.054;2.478;0.253;0.237;0.031;9.373;3.183;14.968;7.335;7.875;;0.081;2.479;0.254;0.234;0.047;9.495;3.218;14.722;7.322;7.865;;0.085;2.491;0.254;0.219;0.063;9.385;3.174;17.016;7.315;8.033;;0.063;2.503;0.25;0.235;0.056;9.379;3.181;15.098;7.347;7.927;0.422;0.425;0.531;0.523;0.439;0.52;0.434
0.532;0.078;2.502;0.25;0.235;0.031;9.536;3.205;15.937;7.549;7.928;;0.078;2.454;0.25;0.234;0.047;9.254;3.158;15.521;7.377;7.819;;0.062;2.455;0.25;0.234;0.047;9.411;3.205;15.864;7.335;7.795;;0.063;2.455;0.25;0.235;0.047;9.266;3.158;16.316;7.329;7.94;0.422;0.426;0.531;0.516;0.422;0.531;0.422
0.516;0.078;2.47;0.234;0.235;0.031;9.333;3.142;15.022;7.314;7.833;;0.062;2.517;0.25;0.235;0.047;9.458;3.189;15.521;7.549;7.77;;0.063;2.47;0.25;0.234;0.047;9.286;3.158;14.193;7.33;7.799;;0.078;2.454;0.25;0.234;0.047;9.263;3.211;14.46;7.314;7.768;0.422;0.422;0.516;0.532;0.422;0.531;0.422
0.516;0.063;2.455;0.25;0.219;0.047;9.223;3.142;14.829;7.455;7.927;;0.078;2.47;0.25;0.219;0.047;9.293;3.158;14.333;7.299;7.77;;0.078;2.501;0.25;0.234;0.047;9.442;3.205;14.193;7.519;7.769;;0.078;2.463;0.25;0.235;0.047;9.302;3.142;14.286;7.314;7.957;0.422;0.422;0.531;0.516;0.438;0.531;0.422
0.516;0.078;2.455;0.234;0.219;0.047;9.26;3.158;14.271;7.299;7.784;;0.063;2.533;0.266;0.235;0.047;9.364;3.158;15.522;7.502;7.848;;0.063;2.47;0.235;0.234;0.047;9.258;3.189;15.943;7.329;7.77;;0.078;2.517;0.25;0.235;0.047;9.427;3.21;15.678;7.315;7.832;0.422;0.422;0.531;0.532;0.46;0.531;0.422
0.532;0.062;2.455;0.234;0.235;0.031;9.32;3.182;15.239;7.486;7.927;;0.078;2.455;0.25;0.235;0.047;9.263;3.173;14.787;7.357;7.77;;0.062;2.501;0.266;0.234;0.047;9.427;3.158;15.646;7.58;7.764;;0.078;2.455;0.25;0.235;0.047;9.285;3.142;15.054;7.314;7.799;0.422;0.422;0.516;0.516;0.422;0.547;0.427
0.516;0.062;2.47;0.234;0.235;0.047;9.396;3.205;14.849;7.315;7.77;;0.078;2.454;0.234;0.235;0.047;9.264;3.158;15.544;7.314;7.926;;0.063;2.47;0.25;0.235;0.047;9.27;3.158;14.76;7.315;7.83;;0.078;2.516;0.25;0.234;0.047;9.443;3.189;15.253;7.58;7.77;0.422;0.422;0.531;0.531;0.438;0.532;0.422
0.516;0.063;2.455;0.234;0.234;0.042;9.26;3.158;16.316;7.393;7.786;;0.063;2.47;0.25;0.219;0.047;9.333;3.205;14.807;7.314;7.776;;0.078;2.455;0.25;0.235;0.047;9.253;3.142;15.714;7.366;7.942;;0.063;2.47;0.25;0.235;0.047;9.284;3.142;14.818;7.328;7.817;0.422;0.422;0.531;0.532;0.438;0.532;0.422
0.516;0.063;2.501;0.25;0.235;0.031;9.489;3.208;16.116;7.599;7.783;;0.078;2.501;0.25;0.239;0.047;9.269;3.157;14.724;7.314;7.843;;0.078;2.488;0.271;0.344;0.053;9.934;3.357;16.381;7.314;7.77;;0.078;2.485;0.261;0.225;0.047;9.365;3.191;17.412;7.398;8.531;0.436;0.422;0.533;0.516;0.438;0.516;0.422
0.51;0.078;2.492;0.234;0.226;0.047;9.364;3.189;15.533;7.349;7.871;;0.078;2.514;0.266;0.224;0.047;9.496;3.235;15.669;7.618;7.872;;0.063;2.522;0.254;0.225;0.047;9.406;3.176;15.14;7.317;7.96;;0.079;2.486;0.247;0.249;0.034;9.416;3.207;14.4;7.312;7.873;0.428;0.437;0.517;0.531;0.435;0.527;0.425
0.537;0.063;2.469;0.247;0.247;0.038;9.336;3.181;16.939;7.459;7.976;;0.062;2.494;0.254;0.23;0.047;9.388;3.171;15.557;7.34;7.877;;0.087;2.524;0.25;0.244;0.035;9.512;3.206;15.25;7.589;7.874;;0.062;2.505;0.248;0.234;0.031;9.392;3.186;14.835;7.316;7.994;0.42;0.435;0.527;0.526;0.422;0.529;0.43
0.519;0.063;2.482;0.253;0.219;0.047;9.388;3.178;14.937;7.317;7.858;;0.086;2.519;0.242;0.243;0.038;9.363;3.187;16.155;7.592;7.982;;0.078;2.482;0.253;0.234;0.047;9.371;3.187;15.859;7.308;7.861;;0.063;2.536;0.254;0.229;0.047;9.486;3.215;14.967;7.492;7.85;0.42;0.418;0.532;0.525;0.438;0.52;0.422
0.512;0.073;2.493;0.245;0.221;0.047;9.413;3.159;15.599;7.292;8.005;;0.078;2.488;0.249;0.234;0.047;9.369;3.181;14.785;7.313;7.851;;0.078;2.504;0.258;0.239;0.047;9.379;3.174;17.27;7.566;7.949;;0.062;2.501;0.252;0.219;0.047;9.368;3.189;15.845;7.329;7.868;0.437;0.407;0.52;0.522;0.433;0.527;0.425
0.516;0.078;2.512;0.241;0.227;0.047;9.47;3.205;14.804;7.46;7.868;;0.063;2.493;0.239;0.237;0.047;9.399;3.191;15.916;7.325;7.983;;0.064;2.506;0.245;0.241;0.045;9.358;3.221;14.699;7.332;7.898;;0.084;2.528;0.25;0.239;0.047;9.42;3.174;16.114;7.629;7.907;0.45;0.414;0.533;0.534;0.431;0.525;0.436
0.511;0.078;2.474;0.254;0.229;0.047;9.413;3.177;15.549;7.294;7.842;;0.063;2.54;0.25;0.229;0.047;9.479;3.221;15.358;7.32;7.849;;0.078;2.478;0.253;0.238;0.047;9.411;3.195;15.446;7.328;7.962;;0.078;2.493;0.25;0.229;0.047;9.367;3.176;14.701;7.316;7.862;0.437;0.436;0.522;0.531;0.426;0.526;0.435
0.521;0.063;2.541;0.25;0.219;0.047;9.435;3.158;16.896;7.573;7.838;;0.078;2.494;0.25;0.229;0.047;9.419;3.172;14.17;7.305;7.875;;0.07;2.495;0.261;0.24;0.039;9.55;3.228;15.796;7.303;7.9;;0.08;2.491;0.247;0.232;0.047;9.37;3.174;15.375;7.313;7.974;0.44;0.438;0.522;0.516;0.422;0.525;0.422
0.525;0.063;2.516;0.238;0.241;0.031;9.387;3.188;15.844;7.61;7.9;;0.078;2.529;0.254;0.234;0.047;9.513;3.178;16.519;7.618;7.862;;0.078;2.489;0.253;0.235;0.036;9.354;3.17;15.109;7.308;7.888;;0.071;2.496;0.241;0.239;0.043;9.472;3.227;14.8;7.308;7.874;0.441;0.421;0.529;0.53;0.422;0.527;0.422
0.521;0.062;2.495;0.242;0.234;0.031;9.403;3.18;15.51;7.282;7.992;;0.063;2.495;0.239;0.246;0.047;9.358;3.185;14.797;7.455;7.899;;0.065;2.515;0.267;0.227;0.047;9.5;3.2;14.702;7.533;7.871;;0.078;2.488;0.25;0.233;0.047;9.387;3.207;14.42;7.399;7.89;0.422;0.443;0.53;0.534;0.434;0.532;0.428
0.522;0.063;2.482;0.252;0.219;0.047;9.366;3.211;14.108;7.302;7.838;;0.061;2.482;0.25;0.244;0.042;9.349;3.191;16.816;7.35;8.003;;0.086;2.487;0.254;0.234;0.049;9.432;3.173;15.615;7.294;7.899;;0.063;2.533;0.245;0.239;0.057;9.484;3.223;15.077;7.596;7.893;0.421;0.43;0.534;0.538;0.421;0.518;0.432
0.509;0.078;2.503;0.243;0.234;0.04;9.348;3.194;14.734;7.311;7.95;;0.078;2.493;0.251;0.224;0.047;9.363;3.191;14.7;7.307;7.87;;0.072;2.494;0.251;0.246;0.047;9.343;3.178;15.129;7.523;7.993;;0.078;2.481;0.255;0.234;0.031;9.4;3.178;14.521;7.301;7.832;0.446;0.417;0.519;0.524;0.437;0.54;0.423
0.525;0.078;2.532;0.249;0.228;0.031;9.53;3.204;14.123;7.483;7.853;;0.078;2.482;0.254;0.234;0.047;9.401;3.174;14.631;7.306;8.125;;0.078;2.475;0.25;0.246;0.031;9.36;3.195;14.168;7.293;7.895;;0.078;2.529;0.266;0.239;0.039;9.46;3.175;15.172;7.626;7.899;0.425;0.425;0.532;0.518;0.45;0.527;0.441
0.523;0.078;2.464;0.259;0.215;0.055;9.357;3.174;14.46;7.301;7.868;;0.06;2.502;0.25;0.242;0.04;9.509;3.231;14.153;7.287;7.87;;0.074;2.491;0.25;0.245;0.044;9.347;3.188;14.779;7.301;7.967;;0.078;2.487;0.249;0.236;0.047;9.37;3.181;13.904;7.304;7.92;0.431;0.415;0.517;0.538;0.435;0.517;0.442
0.534;0.062;2.513;0.253;0.234;0.031;9.475;3.212;14.949;7.545;7.852;;0.078;2.5;0.258;0.228;0.055;9.354;3.165;14.607;7.336;7.89;;0.08;2.47;0.261;0.234;0.048;9.402;3.222;16.284;7.31;7.868;;0.063;2.486;0.251;0.234;0.054;9.35;3.172;16.678;7.335;7.977;0.45;0.427;0.53;0.518;0.412;0.531;0.417
0.515;0.078;2.486;0.234;0.234;0.031;9.423;3.155;16.172;7.306;7.91;;0.063;2.553;0.245;0.248;0.047;9.625;3.189;16.415;7.672;7.859;;0.078;2.482;0.254;0.234;0.031;9.4;3.176;14.841;7.355;7.944;;0.078;2.513;0.252;0.237;0.047;9.527;3.222;16.414;7.368;7.916;0.429;0.424;0.519;0.533;0.426;0.534;0.436
0.534;0.063;2.498;0.254;0.219;0.047;9.434;3.206;15.563;7.451;8.052;;0.061;2.499;0.251;0.235;0.047;9.492;3.301;14.639;7.367;7.938;;0.078;2.533;0.25;0.235;0.047;9.572;3.206;16.825;7.663;8.193;;0.078;2.471;0.261;0.223;0.062;9.358;3.186;16.278;7.366;7.878;0.432;0.428;0.533;0.537;0.427;0.521;0.424
0.513;0.08;2.47;0.254;0.227;0.041;9.423;3.222;16.264;7.312;7.849;;0.074;2.501;0.251;0.235;0.047;9.352;3.161;16.222;7.351;7.993;;0.078;2.496;0.25;0.221;0.047;9.373;3.157;15.184;7.307;7.911;;0.078;2.519;0.253;0.232;0.047;9.509;3.197;16.143;7.542;7.881;0.434;0.42;0.528;0.521;0.45;0.521;0.439
0.533;0.054;2.502;0.251;0.219;0.046;9.384;3.175;14.542;7.346;7.9;;0.084;2.48;0.25;0.24;0.046;9.404;3.214;15.041;7.28;7.851;;0.078;2.472;0.259;0.241;0.047;9.351;3.174;16.78;7.319;7.947;;0.078;2.492;0.243;0.246;0.038;9.373;3.175;15.771;7.298;7.888;0.436;0.414;0.526;0.511;0.456;0.531;0.435
0.53;0.062;2.528;0.243;0.23;0.042;9.469;3.203;16.136;7.603;7.852;;0.062;2.495;0.256;0.234;0.047;9.369;3.19;16.219;7.346;7.922;;0.068;2.501;0.242;0.238;0.047;9.415;3.209;15.332;7.279;7.856;;0.078;2.449;0.25;0.219;0.047;9.232;3.135;16.747;7.303;8.03;0.437;0.425;0.516;0.537;0.435;0.532;0.425
0.516;0.062;2.438;0.25;0.234;0.031;9.191;3.141;15.659;7.252;7.751;;0.078;2.5;0.25;0.234;0.047;9.417;3.21;15.148;7.469;7.703;;0.078;2.469;0.25;0.234;0.031;9.234;3.13;15.664;7.267;7.844;;0.078;2.453;0.234;0.234;0.047;9.204;3.156;16.142;7.266;7.738;0.419;0.422;0.516;0.531;0.422;0.516;0.422
0.516;0.062;2.438;0.234;0.22;0.047;9.25;3.125;16.408;7.423;7.912;;0.078;2.438;0.25;0.234;0.031;9.25;3.125;16.143;7.236;7.72;;0.078;2.5;0.25;0.234;0.047;9.391;3.203;15.705;7.5;7.705;;0.078;2.453;0.25;0.219;0.047;9.234;3.141;15.252;7.25;7.893;0.422;0.422;0.516;0.516;0.422;0.531;0.422
0.516;0.062;2.453;0.234;0.219;0.047;9.187;3.126;16.127;7.251;7.705;;0.078;2.469;0.25;0.234;0.047;9.224;3.125;16.678;7.453;7.906;;0.063;2.453;0.25;0.219;0.047;9.232;3.143;16.002;7.248;7.703;;0.063;2.516;0.25;0.234;0.047;9.392;3.203;16.095;7.476;7.719;0.422;0.422;0.531;0.516;0.422;0.531;0.422
0.5;0.078;2.428;0.25;0.228;0.047;9.235;3.125;16.174;7.267;7.907;;0.078;2.438;0.25;0.234;0.047;9.189;3.125;15.649;7.266;7.736;;0.063;2.469;0.25;0.234;0.047;9.189;3.125;17.112;7.47;7.844;;0.062;2.438;0.25;0.234;0.047;9.187;3.13;15.423;7.266;7.734;0.422;0.422;0.516;0.516;0.422;0.531;0.422
0.531;0.063;2.5;0.234;0.234;0.047;9.44;3.187;14.923;7.345;7.719;;0.062;2.453;0.234;0.234;0.047;9.219;3.125;15.471;7.251;7.937;;0.062;2.453;0.234;0.234;0.047;9.203;3.109;14.289;7.251;7.73;;0.063;2.516;0.25;0.234;0.047;9.312;3.125;16.023;7.502;7.72;0.422;0.422;0.531;0.531;0.422;0.531;0.422
0.516;0.062;2.437;0.25;0.234;0.047;9.203;3.125;14.635;7.919;7.719;;0.063;2.453;0.234;0.234;0.047;9.409;3.203;15.204;7.249;7.752;;0.078;2.438;0.25;0.219;0.047;9.203;3.143;15.269;7.276;7.923;;0.078;2.453;0.25;0.219;0.047;9.203;3.124;16.112;7.296;7.75;0.422;0.406;0.516;0.531;0.422;0.516;0.422
0.516;0.078;2.5;0.234;0.234;0.047;9.389;3.156;15.83;7.455;8.067;;0.078;2.438;0.25;0.234;0.047;9.221;3.125;14.69;7.33;7.737;;0.078;2.454;0.25;0.219;0.047;9.267;3.203;14.0;7.25;7.72;;0.062;2.438;0.25;0.234;0.047;9.189;3.125;15.346;7.282;7.898;0.437;0.406;0.531;0.516;0.422;0.516;0.422
0.516;0.063;2.453;0.234;0.234;0.031;9.234;3.125;16.072;7.251;7.744;;0.078;2.501;0.25;0.234;0.047;9.422;3.219;15.29;7.469;7.719;;0.063;2.484;0.234;0.234;0.047;9.219;3.111;15.577;7.267;7.813;;0.063;2.453;0.25;0.219;0.047;9.207;3.188;16.127;7.251;7.734;0.438;0.422;0.516;0.516;0.438;0.516;0.422
0.516;0.078;2.437;0.234;0.219;0.047;9.194;3.109;15.97;7.392;7.891;;0.078;2.426;0.25;0.234;0.047;9.204;3.125;16.001;7.248;7.721;;0.078;2.486;0.266;0.234;0.047;9.406;3.189;16.252;7.531;7.721;;0.078;2.453;0.234;0.234;0.047;9.245;3.141;15.034;7.25;7.891;0.422;0.438;0.516;0.516;0.422;0.531;0.422
0.516;0.062;2.438;0.25;0.219;0.047;9.19;3.136;15.313;7.25;7.721;;0.063;2.453;0.25;0.234;0.031;9.234;3.125;16.21;7.502;7.922;;0.063;2.453;0.234;0.234;0.047;9.205;3.125;15.441;7.25;7.72;;0.078;2.593;0.263;0.232;0.047;9.77;3.203;14.833;7.376;7.746;0.422;0.422;0.516;0.531;0.437;0.531;0.406
0.516;0.062;2.453;0.234;0.234;0.031;9.283;3.109;15.012;7.251;7.944;;0.078;2.438;0.25;0.234;0.047;9.203;3.117;14.258;7.25;7.766;;0.078;2.5;0.266;0.234;0.031;9.329;3.109;15.008;7.464;7.744;;0.078;2.438;0.25;0.219;0.047;9.205;3.125;14.048;7.256;7.734;0.422;0.422;0.516;0.516;0.422;0.531;0.437
0.516;0.078;2.422;0.25;0.219;0.031;9.362;3.187;13.955;7.237;7.766;;0.078;2.438;0.25;0.219;0.047;9.201;3.128;16.157;7.314;7.891;;0.078;2.453;0.234;0.234;0.047;9.206;3.125;15.003;7.25;7.734;;0.078;2.5;0.25;0.234;0.047;9.406;3.187;14.924;7.516;7.755;0.422;0.422;0.517;0.516;0.437;0.516;0.422
0.516;0.078;2.439;0.25;0.219;0.047;9.188;3.141;15.646;7.266;7.731;;0.063;2.437;0.25;0.234;0.047;9.268;3.188;15.427;7.251;7.703;;0.078;2.438;0.25;0.234;0.047;9.187;3.125;17.103;7.281;7.891;;0.078;2.439;0.25;0.234;0.047;9.203;3.125;14.406;7.25;7.736;0.422;0.422;0.516;0.531;0.437;0.516;0.437
0.531;0.063;2.505;0.25;0.219;0.047;9.449;3.188;15.362;7.496;7.69;;0.078;2.438;0.25;0.234;0.047;9.221;3.141;14.958;7.251;7.859;;0.062;2.438;0.25;0.234;0.031;9.204;3.141;14.815;7.251;7.704;;0.078;2.469;0.25;0.234;0.047;9.193;3.125;15.988;7.484;7.876;0.438;0.422;0.516;0.515;0.422;0.531;0.422
0.516;0.078;2.422;0.25;0.219;0.047;9.24;3.125;15.674;7.25;7.703;;0.078;2.5;0.25;0.234;0.047;9.409;3.203;15.0;7.406;7.741;;0.078;2.469;0.25;0.219;0.047;9.253;3.125;14.505;7.266;7.92;;0.062;2.437;0.25;0.234;0.047;9.205;3.125;16.599;7.266;7.706;0.422;0.422;0.516;0.516;0.422;0.516;0.437
0.531;0.063;2.5;0.25;0.219;0.047;9.22;3.156;17.191;7.533;7.797;;0.078;2.438;0.25;0.234;0.047;9.236;3.156;15.142;7.267;7.704;;0.062;2.516;0.25;0.234;0.047;9.391;3.204;16.115;7.298;7.721;;0.078;2.437;0.25;0.234;0.047;9.204;3.141;15.907;7.255;7.875;0.437;0.422;0.516;0.516;0.422;0.531;0.422
0.525;0.078;2.496;0.25;0.226;0.057;9.424;3.185;15.953;7.33;8.056;;0.081;2.628;0.253;0.234;0.047;9.466;3.188;17.5;7.623;7.916;;0.086;2.503;0.25;0.224;0.058;9.384;3.19;16.374;7.352;7.874;;0.079;2.532;0.244;0.247;0.047;9.551;3.206;15.827;7.445;7.915;0.438;0.432;0.53;0.56;0.436;0.522;0.437
0.52;0.068;2.494;0.234;0.24;0.042;9.388;3.185;16.447;7.342;8.024;;0.063;2.493;0.254;0.235;0.047;9.395;3.176;15.532;7.349;7.878;;0.063;2.537;0.251;0.243;0.047;9.437;3.184;15.14;7.629;7.95;;0.09;2.476;0.261;0.234;0.047;9.374;3.191;14.889;7.359;7.882;0.419;0.445;0.514;0.54;0.422;0.532;0.449
