time_acc_lr_original_feats;time_acc_lr_selected_feats;time_acc_neight_original_feats;time_acc_neight_selected_feats;time_acc_gnb_original_feats;time_acc_gnb_selected_feats;time_acc_rf_original_feats;time_acc_rf_selected_feats;time_prec_lr_original_feats;time_prec_lr_selected_feats;time_prec_neight_original_feats;time_prec_neight_selected_feats;time_prec_gnb_original_feats;time_prec_gnb_selected_feats;time_prec_rf_original_feats;time_prec_rf_selected_feats;time_rec_lr_original_feats;time_rec_lr_selected_feats;time_rec_neight_original_feats;time_rec_neight_selected_feats;time_rec_gnb_original_feats;time_rec_gnb_selected_feats;time_rec_rf_original_feats;time_rec_rf_selected_feats;time_f1_lr_original_feats;time_f1_lr_selected_feats;time_f1_neight_original_feats;time_f1_neight_selected_feats;time_f1_gnb_original_feats;time_f1_gnb_selected_feats;time_f1_rf_original_feats;time_f1_rf_selected_feats
7.298;12.958;0.234;0.078;0.219;0.031;9.242;3.109;7.098;12.969;0.219;0.078;0.234;0.047;9.447;3.148;7.169;12.705;0.219;0.078;0.234;0.031;9.11;3.094;7.113;12.929;0.203;0.078;0.234;0.031;9.925;3.108
7.03;12.995;0.234;0.078;0.226;0.031;9.34;3.328;7.234;12.597;0.203;0.078;0.234;0.047;9.422;3.267;7.041;12.696;0.219;0.078;0.277;0.031;9.41;3.264;7.565;13.02;0.188;0.078;0.234;0.031;9.361;3.277
7.219;12.847;0.219;0.094;0.234;0.031;9.455;3.336;7.267;12.845;0.219;0.078;0.219;0.047;9.188;3.064;7.008;12.817;0.187;0.078;0.234;0.047;9.319;3.126;7.537;12.648;0.188;0.094;0.219;0.031;9.272;3.094
6.928;12.704;0.203;0.062;0.234;0.031;9.254;3.317;7.49;12.533;0.219;0.078;0.25;0.031;9.888;3.329;7.109;12.923;0.219;0.078;0.219;0.047;9.922;3.219;7.288;12.97;0.203;0.078;0.234;0.047;9.351;3.159
7.061;13.329;0.219;0.078;0.203;0.031;9.311;3.156;7.131;12.664;0.188;0.078;0.234;0.031;9.239;3.2;6.995;12.955;0.228;0.063;0.234;0.047;9.163;3.187;7.286;12.693;0.203;0.062;0.25;0.047;9.346;3.082
7.343;12.668;0.219;0.062;0.234;0.031;9.283;3.133;7.165;12.954;0.219;0.078;0.234;0.031;9.406;3.469;6.93;12.708;0.203;0.078;0.24;0.047;9.251;3.124;7.283;12.732;0.203;0.078;0.25;0.047;9.746;3.114
7.063;12.608;0.203;0.078;0.234;0.031;9.314;3.25;7.273;12.767;0.234;0.078;0.25;0.047;9.669;3.261;6.953;12.639;0.203;0.094;0.234;0.047;9.298;3.114;7.166;12.982;0.224;0.078;0.219;0.031;9.415;3.156
6.984;12.717;0.234;0.078;0.234;0.031;9.3;3.111;7.157;12.86;0.203;0.094;0.234;0.047;9.877;3.265;6.908;12.442;0.219;0.078;0.234;0.047;9.631;3.125;7.314;12.671;0.203;0.094;0.219;0.031;9.219;3.11
6.94;12.516;0.203;0.062;0.219;0.031;9.283;3.119;7.141;12.59;0.219;0.078;0.219;0.047;9.313;3.187;7.052;12.446;0.214;0.078;0.234;0.031;9.423;3.102;7.16;12.597;0.188;0.078;0.219;0.047;9.23;3.234
6.938;12.72;0.203;0.063;0.25;0.031;9.61;3.09;7.235;12.493;0.219;0.062;0.219;0.047;9.25;3.099;6.88;12.709;0.219;0.062;0.234;0.047;9.193;3.089;7.24;12.485;0.203;0.078;0.234;0.048;9.829;3.109
7.126;12.641;0.219;0.062;0.234;0.031;9.746;3.125;7.251;12.719;0.203;0.094;0.219;0.047;9.273;3.241;7.234;12.52;0.219;0.078;0.219;0.047;9.33;3.314;7.214;12.499;0.219;0.078;0.234;0.047;9.328;3.108
6.798;12.383;0.203;0.062;0.234;0.047;9.659;3.391;7.355;12.49;0.203;0.078;0.234;0.031;9.455;3.13;6.912;12.784;0.203;0.078;0.234;0.047;9.08;3.13;7.026;12.783;0.219;0.094;0.219;0.047;9.094;3.181
6.687;12.314;0.188;0.062;0.234;0.031;9.559;3.068;7.0;12.752;0.203;0.078;0.25;0.031;9.472;3.109;6.87;12.532;0.203;0.078;0.234;0.047;9.773;3.259;7.234;12.587;0.203;0.063;0.219;0.031;9.203;3.114
7.092;12.626;0.203;0.078;0.203;0.031;9.431;3.141;7.158;12.516;0.219;0.078;0.234;0.047;9.267;3.109;6.923;12.613;0.219;0.078;0.219;0.047;9.622;3.147;7.18;12.688;0.215;0.078;0.266;0.031;9.532;3.109
7.079;12.517;0.219;0.062;0.234;0.047;9.522;3.094;7.077;12.829;0.203;0.062;0.234;0.031;9.432;3.109;6.986;12.971;0.219;0.078;0.219;0.031;9.173;3.078;7.062;12.942;0.203;0.078;0.219;0.031;9.328;3.298
6.982;13.002;0.188;0.062;0.219;0.031;9.228;3.094;7.066;12.992;0.203;0.085;0.234;0.031;9.228;3.281;7.298;12.447;0.234;0.078;0.203;0.047;9.14;3.105;7.016;12.708;0.219;0.078;0.234;0.031;9.231;3.203
6.986;12.621;0.219;0.078;0.203;0.047;9.579;3.078;6.845;12.974;0.203;0.078;0.234;0.047;9.47;3.34;7.033;12.574;0.188;0.078;0.219;0.047;9.45;3.266;6.939;13.017;0.25;0.078;0.266;0.031;9.281;3.081
6.841;12.526;0.203;0.062;0.219;0.031;9.429;3.236;6.969;13.371;0.219;0.078;0.257;0.031;9.673;3.094;7.131;12.768;0.203;0.078;0.234;0.047;9.269;3.125;7.241;13.326;0.219;0.094;0.25;0.031;9.564;3.156
6.954;12.845;0.188;0.078;0.234;0.031;9.267;3.297;7.433;12.909;0.203;0.078;0.234;0.031;9.096;3.125;7.0;12.817;0.203;0.062;0.219;0.047;9.455;3.187;7.224;12.752;0.172;0.078;0.234;0.047;9.472;3.118
7.023;12.674;0.203;0.062;0.234;0.031;9.43;3.111;7.41;12.913;0.219;0.078;0.234;0.031;9.283;3.099;7.273;13.621;0.203;0.078;0.25;0.031;9.184;3.192;7.183;12.908;0.203;0.078;0.25;0.031;9.36;3.253
7.031;13.055;0.219;0.078;0.219;0.031;9.423;3.109;7.298;12.877;0.234;0.062;0.234;0.031;9.365;3.239;7.373;12.824;0.203;0.062;0.234;0.047;9.557;3.153;7.271;12.922;0.234;0.078;0.25;0.047;9.569;3.178
6.984;12.72;0.203;0.094;0.219;0.047;9.251;3.344;7.204;12.895;0.219;0.078;0.234;0.047;9.743;3.391;7.054;12.683;0.188;0.078;0.219;0.031;9.686;3.189;7.359;12.962;0.203;0.078;0.219;0.047;9.345;3.172
6.923;12.533;0.187;0.062;0.25;0.047;9.438;3.156;7.188;12.848;0.203;0.078;0.234;0.047;9.438;3.096;7.102;12.721;0.219;0.078;0.219;0.047;9.251;3.114;7.548;12.926;0.203;0.078;0.219;0.047;9.2;3.117
7.01;12.754;0.203;0.078;0.219;0.047;9.671;3.188;7.284;12.643;0.219;0.078;0.25;0.047;9.289;3.298;7.099;12.716;0.234;0.062;0.266;0.031;9.61;3.299;7.224;12.541;0.203;0.078;0.219;0.047;9.313;3.125
7.001;12.946;0.219;0.078;0.219;0.031;9.751;3.111;7.245;12.709;0.203;0.078;0.25;0.031;9.423;3.192;6.98;12.939;0.203;0.078;0.234;0.031;9.245;3.109;7.204;12.751;0.187;0.094;0.25;0.047;9.876;3.22
7.344;12.788;0.203;0.062;0.219;0.031;9.288;3.109;7.21;12.929;0.203;0.063;0.219;0.047;9.33;3.223;7.014;12.655;0.187;0.078;0.234;0.031;9.314;3.11;7.453;12.981;0.234;0.062;0.25;0.031;9.501;3.125
6.954;12.782;0.203;0.078;0.25;0.031;9.4;3.188;7.454;12.777;0.219;0.078;0.266;0.047;9.523;3.141;7.125;12.704;0.219;0.078;0.219;0.047;9.813;3.219;7.257;12.851;0.219;0.062;0.234;0.047;9.485;3.114
7.0;12.82;0.219;0.078;0.234;0.047;9.533;3.133;7.759;12.845;0.219;0.078;0.234;0.031;9.413;3.125;7.126;12.954;0.203;0.062;0.219;0.047;9.549;3.282;7.169;12.943;0.203;0.078;0.219;0.047;9.532;3.125
7.142;12.873;0.203;0.062;0.235;0.031;9.734;3.203;7.107;12.767;0.203;0.078;0.266;0.031;9.519;3.193;7.079;12.908;0.234;0.094;0.234;0.047;9.61;3.225;7.189;12.853;0.188;0.078;0.219;0.047;9.798;3.203
7.018;13.049;0.234;0.078;0.25;0.047;9.752;3.165;7.109;12.799;0.203;0.078;0.266;0.047;9.548;3.167;7.319;12.688;0.188;0.078;0.25;0.047;9.329;3.172;7.044;12.876;0.203;0.078;0.234;0.031;9.533;3.266
7.054;12.782;0.203;0.078;0.234;0.031;9.581;3.224;7.197;12.82;0.219;0.078;0.219;0.031;9.422;3.099;7.048;13.024;0.226;0.094;0.25;0.047;9.767;3.238;7.203;13.033;0.234;0.094;0.266;0.047;9.282;3.141
7.048;12.709;0.188;0.062;0.219;0.031;9.517;3.161;7.064;13.094;0.219;0.078;0.234;0.031;9.449;3.115;7.024;12.704;0.219;0.078;0.234;0.031;9.422;3.203;7.205;12.687;0.203;0.078;0.234;0.047;9.345;3.314
7.063;12.78;0.188;0.078;0.234;0.031;9.532;3.281;7.294;12.836;0.188;0.078;0.234;0.031;9.303;3.125;7.113;12.923;0.219;0.078;0.219;0.031;9.922;3.188;7.145;12.851;0.219;0.078;0.219;0.047;9.548;3.142
7.329;12.752;0.234;0.062;0.234;0.031;9.707;3.25;7.03;12.767;0.203;0.062;0.234;0.031;9.311;3.19;7.147;13.101;0.203;0.062;0.234;0.031;9.589;3.197;7.1;12.766;0.203;0.078;0.219;0.047;9.563;3.156
7.376;12.831;0.188;0.062;0.234;0.031;9.456;3.328;7.094;12.923;0.219;0.078;0.25;0.047;9.518;3.273;7.308;12.752;0.219;0.094;0.25;0.047;9.483;3.125;7.126;12.856;0.203;0.062;0.219;0.047;9.376;3.098
7.074;12.704;0.203;0.078;0.219;0.031;9.392;3.109;7.256;12.897;0.203;0.094;0.25;0.031;9.445;3.103;7.031;12.829;0.188;0.078;0.25;0.031;9.501;3.266;7.076;13.079;0.219;0.078;0.219;0.047;9.423;3.117
