time_acc_dt_original_feats;time_acc_dt_selected_feats;time_acc_neight_original_feats;time_acc_neight_selected_feats;time_acc_gnb_original_feats;time_acc_gnb_selected_feats;time_acc_rf_original_feats;time_acc_rf_selected_feats;time_acc_mlp_original_feats;time_acc_mlp_selected_feats;time_acc_svc_original_feats;time_acc_svc_selected_featstime_prec_dt_original_feats;time_prec_dt_selected_feats;time_prec_neight_original_feats;time_prec_neight_selected_feats;time_prec_gnb_original_feats;time_prec_gnb_selected_feats;time_prec_rf_original_feats;time_prec_rf_selected_feats;time_prec_mlp_original_feats;time_prec_mlp_selected_feats;time_prec_svc_original_feats;time_prec_svc_selected_featstime_rec_dt_original_feats;time_rec_dt_selected_feats;time_rec_neight_original_feats;time_rec_neight_selected_feats;time_rec_gnb_original_feats;time_rec_gnb_selected_feats;time_rec_rf_original_feats;time_rec_rf_selected_feats;time_rec_mlp_original_feats;time_rec_mlp_selected_feats;time_rec_svc_original_feats;time_rec_svc_selected_featstime_f1_dt_original_feats;time_f1_dt_selected_feats;time_f1_neight_original_feats;time_f1_neight_selected_feats;time_f1_gnb_original_feats;time_f1_gnb_selected_feats;time_f1_rf_original_feats;time_f1_rf_selected_feats;time_f1_mlp_original_feats;time_f1_mlp_selected_feats;time_f1_svc_original_feats;time_f1_svc_selected_feats;time_acc_svc_selected_feats;time_f1_dt_original_feats;time_prec_dt_original_feats;time_prec_svc_selected_feats;time_rec_dt_original_feats;time_rec_svc_selected_feats
0.522;0.055;2.503;0.25;0.233;0.032;9.37;3.189;15.585;7.323;7.869;;0.078;2.529;0.249;0.236;0.047;9.538;3.211;14.841;7.44;7.892;;0.078;2.497;0.255;0.25;0.047;9.4;3.191;16.892;7.311;8.053;;0.086;2.502;0.24;0.25;0.047;9.383;3.176;14.875;7.326;7.888;0.416;0.431;0.528;0.527;0.43;0.525;0.439
0.535;0.063;2.544;0.256;0.23;0.031;9.464;3.191;15.785;7.599;7.953;;0.074;2.56;0.257;0.247;0.046;9.416;3.191;16.847;7.605;7.905;;0.078;2.539;0.259;0.242;0.047;9.518;3.224;16.881;7.695;7.887;;0.086;2.494;0.243;0.25;0.046;9.43;3.197;14.884;7.335;8.023;0.437;0.43;0.513;0.539;0.44;0.531;0.435
0.533;0.063;2.485;0.26;0.224;0.047;9.369;3.185;14.825;7.351;7.918;;0.085;2.542;0.252;0.25;0.032;9.418;3.173;15.88;7.622;7.992;;0.062;2.502;0.262;0.236;0.047;9.41;3.19;16.634;7.311;7.89;;0.078;2.528;0.255;0.25;0.047;9.496;3.237;16.187;7.529;7.914;0.424;0.429;0.534;0.534;0.43;0.533;0.429
0.52;0.063;2.503;0.251;0.234;0.047;9.404;3.17;16.308;7.327;8.014;;0.062;2.502;0.262;0.234;0.06;9.36;3.175;16.184;7.381;7.899;;0.078;2.502;0.265;0.251;0.031;9.417;3.175;17.174;7.57;8.007;;0.062;2.498;0.254;0.234;0.047;9.385;3.207;16.22;7.303;7.886;0.431;0.439;0.534;0.547;0.426;0.547;0.453
0.536;0.063;2.544;0.242;0.234;0.047;9.497;3.205;14.842;7.519;7.985;;0.078;2.502;0.25;0.235;0.047;9.423;3.171;14.915;7.338;8.073;;0.075;2.502;0.252;0.253;0.046;9.392;3.179;16.78;7.336;7.922;;0.078;2.512;0.265;0.24;0.047;9.37;3.178;17.776;7.569;8.016;0.429;0.412;0.526;0.513;0.423;0.535;0.426
0.53;0.063;2.491;0.249;0.248;0.031;9.405;3.206;16.237;7.306;7.913;;0.073;2.548;0.255;0.263;0.047;9.518;3.228;16.951;7.575;7.888;;0.087;2.507;0.248;0.248;0.047;9.403;3.173;16.581;7.312;8.04;;0.078;2.504;0.248;0.233;0.047;9.371;3.261;16.561;7.325;7.999;0.415;0.412;0.527;0.535;0.427;0.521;0.431
0.516;0.075;2.502;0.251;0.219;0.047;9.377;3.165;17.767;7.511;8.482;;0.075;2.499;0.234;0.244;0.047;9.38;3.187;16.664;7.316;7.907;;0.078;2.519;0.266;0.234;0.047;9.497;3.342;16.934;7.647;7.875;;0.078;2.538;0.259;0.244;0.04;9.501;3.184;16.579;7.381;8.186;0.418;0.454;0.544;0.539;0.445;0.527;0.439
0.537;0.068;2.521;0.232;0.249;0.031;9.464;3.222;16.735;7.341;7.904;;0.078;2.487;0.252;0.233;0.047;9.405;3.199;17.422;7.358;8.007;;0.063;2.498;0.264;0.253;0.031;9.364;3.196;16.82;7.338;7.957;;0.078;2.537;0.263;0.248;0.048;9.502;3.184;17.427;7.606;7.894;0.436;0.444;0.525;0.525;0.438;0.538;0.432
0.519;0.075;2.5;0.237;0.234;0.055;9.363;3.207;16.806;7.366;7.867;;0.078;2.5;0.252;0.235;0.06;9.525;3.24;16.586;7.31;7.907;;0.063;2.511;0.265;0.238;0.047;9.402;3.204;16.06;7.39;7.999;;0.077;2.489;0.25;0.235;0.056;9.389;3.187;15.514;7.328;7.892;0.437;0.429;0.525;0.534;0.426;0.55;0.444
0.526;0.063;2.522;0.251;0.244;0.047;9.469;3.2;16.382;7.562;7.875;;0.088;2.493;0.25;0.242;0.047;9.363;3.191;15.606;7.364;7.874;;0.078;2.502;0.249;0.237;0.047;9.516;3.216;14.825;7.32;7.903;;0.062;2.499;0.253;0.233;0.047;9.366;3.2;15.493;7.347;8.038;0.439;0.42;0.529;0.515;0.427;0.516;0.432
0.534;0.063;2.502;0.234;0.236;0.047;9.5;3.183;14.873;7.31;7.946;;0.078;2.533;0.263;0.237;0.051;9.517;3.212;15.706;7.61;7.924;;0.078;2.494;0.258;0.231;0.047;9.396;3.192;14.857;7.396;7.954;;0.078;2.503;0.25;0.242;0.047;9.496;3.221;16.765;7.32;7.901;0.434;0.425;0.524;0.542;0.436;0.525;0.44
0.526;0.067;2.489;0.236;0.253;0.041;9.382;3.183;17.542;7.337;8.007;;0.078;2.507;0.25;0.247;0.047;9.389;3.17;17.424;7.35;7.969;;0.063;2.552;0.25;0.249;0.047;9.494;3.192;17.735;7.477;7.897;;0.076;2.498;0.249;0.249;0.038;9.403;3.183;16.632;7.328;7.9;0.422;0.43;0.533;0.531;0.425;0.547;0.424
0.532;0.071;2.532;0.25;0.251;0.031;9.504;3.212;16.83;7.3;7.925;;0.089;2.486;0.257;0.247;0.031;9.411;3.189;16.955;7.344;8.038;;0.06;2.502;0.25;0.247;0.035;9.384;3.187;16.889;7.301;7.899;;0.082;2.55;0.245;0.255;0.031;9.411;3.191;17.591;7.574;7.923;0.44;0.434;0.535;0.528;0.438;0.537;0.44
0.525;0.063;2.492;0.236;0.246;0.031;9.376;3.191;15.986;7.308;7.888;;0.08;2.565;0.246;0.239;0.047;9.507;3.225;14.885;7.509;8.037;;0.063;2.51;0.245;0.238;0.042;9.402;3.19;15.041;7.327;8.042;;0.068;2.486;0.269;0.243;0.047;9.367;3.186;16.6;7.344;7.904;0.417;0.438;0.542;0.528;0.434;0.525;0.437
0.533;0.067;2.543;0.262;0.234;0.031;9.39;3.19;17.526;7.599;7.922;;0.078;2.505;0.252;0.231;0.047;9.385;3.182;16.849;7.315;7.878;;0.078;2.555;0.26;0.25;0.048;9.498;3.216;16.768;7.616;7.903;;0.067;2.504;0.249;0.25;0.047;9.418;3.173;16.664;7.332;8.019;0.449;0.429;0.531;0.521;0.438;0.533;0.422
0.516;0.086;2.479;0.252;0.24;0.031;9.362;3.182;14.841;7.351;7.89;;0.074;2.51;0.258;0.238;0.059;9.407;3.175;15.793;7.562;7.996;;0.067;2.499;0.237;0.259;0.038;9.386;3.173;16.91;7.331;7.883;;0.063;2.546;0.258;0.247;0.031;9.544;3.22;16.598;7.558;7.898;0.426;0.428;0.536;0.548;0.443;0.528;0.439
0.527;0.062;2.48;0.26;0.228;0.031;9.395;3.165;16.542;7.341;8.029;;0.063;2.5;0.248;0.24;0.047;9.368;3.192;15.07;7.374;7.89;;0.084;2.522;0.254;0.25;0.047;9.385;3.178;17.847;7.575;8.014;;0.067;2.503;0.252;0.244;0.047;9.388;3.19;16.654;7.325;7.868;0.432;0.435;0.541;0.533;0.433;0.533;0.424
0.532;0.078;2.518;0.257;0.233;0.056;9.481;3.235;17.004;7.595;7.894;;0.078;2.506;0.251;0.243;0.047;9.407;3.191;16.782;7.319;8.015;;0.078;2.516;0.252;0.234;0.048;9.373;3.217;14.837;7.324;7.914;;0.079;2.487;0.25;0.244;0.045;9.379;3.189;15.791;7.56;8.024;0.443;0.43;0.526;0.544;0.433;0.53;0.426
0.518;0.078;2.5;0.248;0.238;0.031;9.393;3.197;16.923;7.351;7.89;;0.078;2.539;0.243;0.261;0.036;9.529;3.218;16.921;7.567;7.889;;0.078;2.517;0.254;0.247;0.031;9.386;3.189;16.759;7.337;8.0;;0.062;2.503;0.25;0.246;0.047;9.505;3.237;16.565;7.345;7.884;0.418;0.43;0.537;0.536;0.416;0.53;0.436
0.515;0.062;2.498;0.259;0.219;0.047;9.375;3.176;17.472;7.376;8.014;;0.078;2.514;0.254;0.234;0.047;9.389;3.171;16.838;7.312;7.924;;0.063;2.548;0.25;0.252;0.047;9.498;3.202;17.07;7.586;7.905;;0.071;2.519;0.234;0.258;0.039;9.39;3.22;16.891;7.399;7.956;0.426;0.433;0.522;0.531;0.426;0.547;0.44
0.521;0.062;2.454;0.235;0.234;0.047;9.397;3.22;16.661;7.34;7.868;;0.078;2.455;0.25;0.234;0.047;9.253;3.158;17.229;7.346;7.946;;0.063;2.486;0.25;0.234;0.047;9.271;3.163;17.441;7.328;7.838;;0.062;2.517;0.25;0.25;0.047;9.433;3.158;16.272;7.611;7.754;0.438;0.422;0.531;0.516;0.438;0.532;0.422
0.531;0.063;2.47;0.235;0.25;0.031;9.239;3.174;15.581;7.392;7.802;;0.063;2.471;0.25;0.25;0.031;9.389;3.205;14.13;7.33;7.802;;0.063;2.502;0.266;0.235;0.047;9.286;3.14;14.942;7.349;7.938;;0.063;2.47;0.25;0.244;0.047;9.259;3.174;14.945;7.315;7.864;0.422;0.422;0.531;0.534;0.438;0.532;0.438
0.531;0.063;2.517;0.235;0.234;0.047;9.427;3.205;15.331;7.58;7.77;;0.078;2.47;0.25;0.234;0.047;9.286;3.152;14.927;7.361;7.833;;0.063;2.47;0.234;0.25;0.047;9.302;3.205;16.235;7.328;7.789;;0.078;2.47;0.25;0.235;0.047;9.27;3.16;16.659;7.361;7.955;0.438;0.422;0.516;0.516;0.422;0.531;0.422
0.516;0.078;2.47;0.25;0.219;0.047;9.315;3.158;15.553;7.33;7.814;;0.078;2.517;0.25;0.234;0.047;9.434;3.205;15.798;7.562;7.799;;0.078;2.486;0.25;0.234;0.051;9.259;3.142;15.584;7.33;7.863;;0.078;2.47;0.25;0.235;0.047;9.239;3.205;15.553;7.357;7.783;0.422;0.422;0.516;0.531;0.438;0.531;0.422
0.516;0.078;2.454;0.235;0.234;0.047;9.224;3.142;16.927;7.439;7.958;;0.078;2.472;0.235;0.234;0.047;9.269;3.156;14.967;7.32;7.817;;0.079;2.532;0.25;0.234;0.047;9.446;3.189;14.969;7.58;7.786;;0.078;2.453;0.25;0.234;0.047;9.284;3.142;14.897;7.345;7.958;0.438;0.422;0.516;0.516;0.422;0.516;0.422
0.516;0.078;2.455;0.25;0.235;0.031;9.282;3.142;15.566;7.329;7.786;;0.063;2.517;0.25;0.219;0.047;9.3;3.158;16.084;7.971;7.966;;0.062;2.47;0.234;0.25;0.047;9.335;3.158;16.659;7.314;7.81;;0.078;2.517;0.25;0.25;0.047;9.448;3.236;16.913;7.565;7.832;0.422;0.422;0.532;0.55;0.438;0.532;0.422
0.516;0.078;2.484;0.25;0.234;0.047;9.286;3.142;16.819;7.298;7.958;;0.078;2.47;0.25;0.235;0.047;9.271;3.174;16.809;7.329;7.784;;0.078;2.47;0.25;0.234;0.047;9.267;3.142;17.794;7.424;7.973;;0.061;2.518;0.249;0.26;0.039;9.438;3.196;16.887;7.667;7.799;0.438;0.407;0.528;0.516;0.422;0.516;0.422
0.539;0.063;2.544;0.24;0.234;0.047;9.588;3.221;16.946;7.606;7.921;;0.078;2.496;0.247;0.241;0.047;9.394;3.183;16.499;7.367;7.945;;0.062;2.51;0.25;0.24;0.047;9.551;3.222;16.702;7.32;7.938;;0.078;2.505;0.242;0.24;0.047;9.366;3.177;17.399;7.355;8.055;0.424;0.416;0.531;0.527;0.44;0.54;0.453
0.524;0.062;2.508;0.235;0.24;0.047;9.363;3.174;16.526;7.328;7.934;;0.078;2.543;0.257;0.234;0.053;9.505;3.211;15.609;7.629;7.894;;0.078;2.495;0.258;0.25;0.031;9.369;3.175;16.634;7.398;7.908;;0.072;2.495;0.257;0.24;0.058;9.463;3.221;16.591;7.313;7.947;0.442;0.418;0.543;0.519;0.429;0.521;0.423
0.521;0.076;2.502;0.234;0.234;0.048;9.383;3.187;15.621;7.332;8.045;;0.063;2.518;0.247;0.238;0.047;9.4;3.183;14.826;7.302;7.969;;0.078;2.536;0.259;0.234;0.048;9.531;3.204;15.372;7.619;7.911;;0.063;2.518;0.257;0.23;0.055;9.366;3.2;14.845;7.357;7.983;0.439;0.435;0.533;0.535;0.433;0.53;0.433
0.512;0.072;2.495;0.249;0.23;0.047;9.42;3.206;15.999;7.323;7.929;;0.064;2.516;0.252;0.231;0.05;9.389;3.173;15.825;7.379;8.039;;0.063;2.497;0.253;0.254;0.031;9.39;3.189;16.596;7.333;7.96;;0.07;2.533;0.25;0.25;0.047;9.528;3.203;17.403;7.578;7.946;0.434;0.424;0.533;0.528;0.432;0.527;0.428
0.531;0.076;2.488;0.252;0.233;0.053;9.353;3.175;16.752;7.343;7.899;;0.065;2.489;0.258;0.238;0.047;9.498;3.218;16.556;7.33;7.903;;0.078;2.502;0.256;0.234;0.031;9.369;3.192;17.254;7.316;8.045;;0.078;2.502;0.254;0.231;0.047;9.384;3.172;15.043;7.336;7.93;0.44;0.427;0.516;0.542;0.411;0.529;0.431
0.527;0.062;2.539;0.25;0.243;0.047;9.485;3.22;17.369;7.546;7.906;;0.063;2.503;0.251;0.246;0.047;9.389;3.186;16.178;7.352;7.94;;0.079;2.499;0.238;0.25;0.052;9.521;3.221;16.588;7.314;7.896;;0.076;2.498;0.245;0.245;0.047;9.358;3.217;17.42;7.319;8.029;0.434;0.433;0.544;0.53;0.438;0.521;0.436
0.528;0.069;2.517;0.234;0.237;0.048;9.35;3.189;16.589;7.333;7.929;;0.069;2.546;0.256;0.244;0.031;9.49;3.178;17.598;7.62;7.921;;0.062;2.509;0.238;0.257;0.047;9.367;3.191;16.925;7.34;7.888;;0.066;2.536;0.25;0.246;0.047;9.513;3.219;16.766;7.423;7.917;0.424;0.418;0.542;0.537;0.419;0.538;0.434
0.523;0.081;2.49;0.241;0.254;0.031;9.392;3.174;17.741;7.332;8.047;;0.059;2.502;0.257;0.227;0.047;9.38;3.19;16.502;7.355;7.93;;0.087;2.516;0.244;0.257;0.04;9.379;3.173;17.993;7.626;7.996;;0.063;2.498;0.253;0.25;0.039;9.411;3.206;16.812;7.328;7.907;0.422;0.433;0.528;0.524;0.446;0.523;0.432
0.537;0.063;2.528;0.251;0.253;0.047;9.506;3.219;16.559;7.621;7.891;;0.064;2.503;0.249;0.234;0.047;9.415;3.159;16.5;7.31;8.006;;0.078;2.493;0.246;0.25;0.047;9.427;3.186;14.982;7.311;7.927;;0.063;2.522;0.25;0.247;0.047;9.387;3.197;17.761;7.459;8.016;0.446;0.423;0.547;0.541;0.428;0.514;0.419
0.525;0.078;2.494;0.251;0.239;0.047;9.38;3.195;16.632;7.326;7.949;;0.072;2.545;0.253;0.234;0.047;9.496;3.223;14.982;7.569;7.91;;0.078;2.512;0.247;0.234;0.047;9.417;3.178;15.061;7.311;8.032;;0.078;2.528;0.252;0.234;0.047;9.435;3.187;14.847;7.319;7.923;0.43;0.424;0.53;0.547;0.439;0.523;0.419
0.535;0.063;2.521;0.232;0.24;0.047;9.365;3.188;15.879;7.576;8.088;;0.062;2.514;0.254;0.226;0.047;9.379;3.187;14.883;7.32;7.916;;0.069;2.532;0.244;0.242;0.047;9.502;3.229;14.805;7.497;7.922;;0.078;2.498;0.263;0.223;0.047;9.433;3.189;14.908;7.337;8.054;0.452;0.427;0.531;0.546;0.413;0.543;0.434
0.527;0.075;2.471;0.263;0.221;0.053;9.354;3.191;14.849;7.314;7.891;;0.063;2.543;0.252;0.257;0.043;9.449;3.23;15.801;7.597;7.976;;0.062;2.518;0.251;0.232;0.047;9.402;3.184;14.911;7.338;7.891;;0.078;2.537;0.263;0.234;0.056;9.509;3.235;14.837;7.328;7.905;0.423;0.42;0.529;0.548;0.439;0.529;0.43
0.527;0.062;2.489;0.261;0.234;0.045;9.358;3.191;15.185;7.313;7.984;;0.081;2.504;0.247;0.228;0.055;9.406;3.189;14.852;7.333;7.914;;0.078;2.54;0.26;0.241;0.043;9.49;3.196;15.827;7.593;7.906;;0.081;2.491;0.26;0.234;0.047;9.397;3.18;14.887;7.346;7.925;0.444;0.438;0.518;0.523;0.423;0.524;0.423
