time_acc_dt_original_feats;time_acc_dt_selected_feats;time_acc_neight_original_feats;time_acc_neight_selected_feats;time_acc_gnb_original_feats;time_acc_gnb_selected_feats;time_acc_rf_original_feats;time_acc_rf_selected_feats;time_acc_mlp_original_feats;time_acc_mlp_selected_feats;time_acc_svc_original_feats;time_acc_svc_selected_featstime_prec_dt_original_feats;time_prec_dt_selected_feats;time_prec_neight_original_feats;time_prec_neight_selected_feats;time_prec_gnb_original_feats;time_prec_gnb_selected_feats;time_prec_rf_original_feats;time_prec_rf_selected_feats;time_prec_mlp_original_feats;time_prec_mlp_selected_feats;time_prec_svc_original_feats;time_prec_svc_selected_featstime_rec_dt_original_feats;time_rec_dt_selected_feats;time_rec_neight_original_feats;time_rec_neight_selected_feats;time_rec_gnb_original_feats;time_rec_gnb_selected_feats;time_rec_rf_original_feats;time_rec_rf_selected_feats;time_rec_mlp_original_feats;time_rec_mlp_selected_feats;time_rec_svc_original_feats;time_rec_svc_selected_featstime_f1_dt_original_feats;time_f1_dt_selected_feats;time_f1_neight_original_feats;time_f1_neight_selected_feats;time_f1_gnb_original_feats;time_f1_gnb_selected_feats;time_f1_rf_original_feats;time_f1_rf_selected_feats;time_f1_mlp_original_feats;time_f1_mlp_selected_feats;time_f1_svc_original_feats;time_f1_svc_selected_feats;time_acc_svc_selected_feats;time_f1_dt_original_feats;time_prec_dt_original_feats;time_prec_svc_selected_feats;time_rec_dt_original_feats;time_rec_svc_selected_feats
0.525;0.078;2.548;0.253;0.25;0.036;9.493;3.218;16.003;7.406;8.155;;0.078;2.496;0.253;0.238;0.047;9.416;3.179;16.603;7.318;8.021;;0.064;2.502;0.25;0.25;0.047;9.389;3.186;16.605;7.317;7.918;;0.078;2.513;0.25;0.26;0.031;9.405;3.176;17.875;7.565;7.959;0.43;0.431;0.537;0.535;0.43;0.545;0.422
0.518;0.063;2.495;0.25;0.242;0.047;9.357;3.171;16.844;7.308;7.913;;0.078;2.543;0.257;0.234;0.047;9.53;3.216;16.786;7.514;7.893;;0.078;2.501;0.245;0.255;0.047;9.398;3.194;16.802;7.304;8.032;;0.062;2.498;0.253;0.235;0.047;9.424;3.191;16.585;7.314;7.871;0.418;0.421;0.541;0.535;0.426;0.534;0.456
0.515;0.075;2.521;0.242;0.238;0.047;9.369;3.166;16.909;7.522;8.054;;0.078;2.511;0.257;0.234;0.047;9.356;3.201;15.561;7.314;7.888;;0.067;2.546;0.247;0.251;0.037;9.52;3.227;14.815;7.638;7.874;;0.063;2.494;0.258;0.234;0.047;9.58;3.163;14.839;7.329;8.016;0.434;0.437;0.538;0.52;0.434;0.533;0.422
0.531;0.063;2.496;0.251;0.222;0.047;9.388;3.17;14.826;7.32;7.922;;0.078;2.523;0.244;0.234;0.047;9.402;3.186;16.944;7.59;8.017;;0.062;2.497;0.253;0.25;0.047;9.387;3.172;16.949;7.349;7.9;;0.078;2.54;0.259;0.25;0.047;9.515;3.216;16.897;7.637;7.922;0.419;0.418;0.538;0.523;0.435;0.531;0.427
0.517;0.062;2.502;0.247;0.238;0.047;9.384;3.196;14.81;7.335;8.015;;0.074;2.498;0.251;0.241;0.043;9.383;3.191;14.789;7.329;7.867;;0.078;2.527;0.255;0.248;0.031;9.385;3.191;17.943;7.538;8.023;;0.063;2.498;0.254;0.234;0.047;9.386;3.173;16.211;7.33;7.906;0.432;0.432;0.53;0.534;0.431;0.535;0.434
0.531;0.063;2.533;0.251;0.235;0.047;9.494;3.224;16.974;7.586;7.913;;0.059;2.531;0.247;0.237;0.047;9.378;3.176;16.559;7.332;8.004;;0.078;2.486;0.25;0.25;0.047;9.392;3.239;16.905;7.327;7.888;;0.077;2.504;0.25;0.246;0.047;9.379;3.201;17.782;7.392;8.023;0.422;0.418;0.53;0.532;0.421;0.517;0.432
0.508;0.078;2.486;0.258;0.228;0.047;9.382;3.177;16.837;7.314;8.04;;0.078;2.525;0.271;0.235;0.059;9.506;3.24;17.213;7.64;7.88;;0.078;2.5;0.25;0.235;0.047;9.376;3.181;14.842;7.354;7.944;;0.078;2.503;0.25;0.234;0.047;9.454;3.213;16.781;7.344;7.924;0.439;0.427;0.515;0.529;0.424;0.535;0.427
0.527;0.063;2.487;0.255;0.231;0.031;9.393;3.172;15.773;7.369;8.013;;0.078;2.513;0.284;0.261;0.047;9.393;3.185;16.886;7.357;7.943;;0.063;2.56;0.254;0.232;0.047;9.507;3.247;17.969;7.572;7.879;;0.066;2.518;0.245;0.239;0.047;9.379;3.183;14.136;7.372;7.927;0.469;0.426;0.531;0.538;0.417;0.543;0.442
0.54;0.063;2.491;0.238;0.244;0.031;9.44;3.238;14.765;7.308;7.874;;0.063;2.502;0.258;0.227;0.055;9.352;3.197;16.475;7.369;8.031;;0.078;2.495;0.257;0.235;0.031;9.384;3.192;15.534;7.325;7.897;;0.078;2.537;0.24;0.242;0.047;9.519;3.213;15.98;7.618;7.902;0.424;0.443;0.531;0.528;0.432;0.521;0.44
0.527;0.08;2.49;0.255;0.225;0.047;9.374;3.194;15.533;7.348;7.933;;0.062;2.535;0.25;0.25;0.047;9.541;3.219;15.606;7.516;8.036;;0.062;2.496;0.254;0.237;0.047;9.387;3.172;17.025;7.441;8.065;;0.078;2.525;0.241;0.249;0.047;9.432;3.174;17.614;7.58;7.993;0.438;0.42;0.534;0.534;0.441;0.527;0.43
